# energyFactor	econcomicFactor	constraintViolation	iteration	functionCalls
2.622318167134798841e-03 6.319510929520700815e-01 1.641992021550464642e-05 5.000000000000000000e+00 4.500000000000000000e+01
2.528708868004978828e-03 6.377352019894577673e-01 1.379854657855839051e-04 3.000000000000000000e+00 3.700000000000000000e+01
2.427346996999597828e-03 6.432940502644423075e-01 3.429024895240662119e-05 4.000000000000000000e+00 4.300000000000000000e+01
2.347022942788029327e-03 6.489902575725920997e-01 6.795406528470326890e-05 3.000000000000000000e+00 3.000000000000000000e+01
2.267592132440157063e-03 6.545980554216566105e-01 1.320842253160758872e-05 6.000000000000000000e+00 4.600000000000000000e+01
2.187905466939523477e-03 6.602624447678323572e-01 1.505427688963667521e-05 5.000000000000000000e+00 4.700000000000000000e+01
2.113899886494879053e-03 6.659627699958652336e-01 5.283601310490659841e-05 4.000000000000000000e+00 3.900000000000000000e+01
2.046123829748820819e-03 6.716302720605872301e-01 5.779458600929654466e-05 2.000000000000000000e+00 1.700000000000000000e+01
1.978979775463660801e-03 6.772492516628793036e-01 1.423069648376351637e-05 5.000000000000000000e+00 4.600000000000000000e+01
1.915760269000078581e-03 6.829509844750113468e-01 5.342001679820018722e-05 2.000000000000000000e+00 2.000000000000000000e+01
1.857631002292098365e-03 6.886098559679888487e-01 4.974801795809558058e-05 3.000000000000000000e+00 3.200000000000000000e+01
1.803205614774229353e-03 6.942579917989462057e-01 3.534035709773508671e-05 3.000000000000000000e+00 3.000000000000000000e+01
1.741790080879172505e-03 6.998958897807310287e-01 1.069484706495149595e-05 5.000000000000000000e+00 4.500000000000000000e+01
1.684462116722177782e-03 7.055543764213275670e-01 6.637995843883359726e-06 6.000000000000000000e+00 4.700000000000000000e+01
1.634414704795359059e-03 7.112525163740939238e-01 4.223445679263360120e-05 3.000000000000000000e+00 3.200000000000000000e+01
1.587607510378021090e-03 7.169126126301738067e-01 3.978722105490994920e-05 3.000000000000000000e+00 3.200000000000000000e+01
1.543317357334140789e-03 7.225682781339015648e-01 3.290923296506154117e-05 3.000000000000000000e+00 2.700000000000000000e+01
1.501123806094330432e-03 7.282346526329824821e-01 3.674024022826127833e-05 3.000000000000000000e+00 3.300000000000000000e+01
1.447563950815741263e-03 7.338665881606387664e-01 6.132276067050135282e-06 5.000000000000000000e+00 4.600000000000000000e+01
1.400396163302356379e-03 7.395561638687170314e-01 3.316449232770857236e-05 3.000000000000000000e+00 3.900000000000000000e+01
1.358211248603827205e-03 7.451932043766256175e-01 7.661508418577156476e-06 5.000000000000000000e+00 4.700000000000000000e+01
1.315818279244232404e-03 7.508563925437050646e-01 8.306183680528711477e-06 5.000000000000000000e+00 4.700000000000000000e+01
1.278166210200374752e-03 7.565427170721751304e-01 3.208722033287703113e-05 2.000000000000000000e+00 2.100000000000000000e+01
1.240545866076192983e-03 7.621794188601636044e-01 6.245516503744497072e-06 5.000000000000000000e+00 4.800000000000000000e+01
1.203396543660151859e-03 7.678434359971424428e-01 7.719161664976326165e-06 5.000000000000000000e+00 5.000000000000000000e+01
1.168239729473230905e-03 7.735128719539742237e-01 1.461162667915072433e-05 4.000000000000000000e+00 4.400000000000000000e+01
1.134802096736786843e-03 7.791675704723380891e-01 6.766653225298568941e-06 5.000000000000000000e+00 4.800000000000000000e+01
1.103702346895384188e-03 7.848498270076896821e-01 2.647969675939609857e-05 2.000000000000000000e+00 1.900000000000000000e+01
1.074517062407586354e-03 7.905110856944088660e-01 2.519489166086241738e-05 2.000000000000000000e+00 2.200000000000000000e+01
1.043992705549793383e-03 7.961531192215548502e-01 4.684926989240167927e-06 5.000000000000000000e+00 4.500000000000000000e+01
1.014260659119423655e-03 8.018198113253129922e-01 8.833538929886586288e-06 5.000000000000000000e+00 4.700000000000000000e+01
9.875195771499689461e-04 8.074961777772382554e-01 2.265649903743227611e-05 2.000000000000000000e+00 2.100000000000000000e+01
9.622909964646519801e-04 8.131602218129727611e-01 2.415704295422038683e-05 2.000000000000000000e+00 1.800000000000000000e+01
9.353784087299238771e-04 8.188042161564074162e-01 5.607894571380001025e-06 6.000000000000000000e+00 5.100000000000000000e+01
9.080080625954244740e-04 8.244611857322041715e-01 3.397855052877929438e-08 1.200000000000000000e+01 8.700000000000000000e+01
8.836246183729671525e-04 8.301443755286762594e-01 2.068028320489911920e-05 2.000000000000000000e+00 2.000000000000000000e+01
8.608593364754326457e-04 8.358057443947195519e-01 1.950565743069621050e-05 2.000000000000000000e+00 2.300000000000000000e+01
8.393604192785052934e-04 8.414670265003351135e-01 1.824427122854022087e-05 2.000000000000000000e+00 2.000000000000000000e+01
8.189408146212329804e-04 8.471288485832613180e-01 1.752286233713817865e-05 2.000000000000000000e+00 2.000000000000000000e+01
7.966341394798314964e-04 8.527743670217795557e-01 4.978090377694144308e-07 9.000000000000000000e+00 6.200000000000000000e+01
7.769779961590255867e-04 8.584532205489321388e-01 1.680784437274596144e-05 2.000000000000000000e+00 2.300000000000000000e+01
7.575261010736504368e-04 8.641746904847392718e-01 7.573428836216145044e-05 3.000000000000000000e+00 3.100000000000000000e+01
7.399698283840318780e-04 8.697780118368754199e-01 1.651214868081396503e-05 2.000000000000000000e+00 1.800000000000000000e+01
7.230421934230028954e-04 8.754386668151445949e-01 1.462363513227149525e-05 2.000000000000000000e+00 2.400000000000000000e+01
7.050986185248394504e-04 8.811812218660499685e-01 9.463519422003852100e-05 3.000000000000000000e+00 3.200000000000000000e+01
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
7.050986185248394504e-04 8.811812218660499685e-01 0.000000000000000000e+00 1.000000000000000000e+00 3.000000000000000000e+00
